zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured
17264897,CA,California,"979 Kevin Ave, Redlands, CA 92373",979 Kevin Ave,Redlands,92373,447000,"$447,000 ",3,2,1300,34.04052,-117.186195,House for sale,SINGLE_FAMILY,5,455500,https://www.zillow.com/homedetails/979-Kevin-Ave-Redlands-CA-92373/17264897_zpid/,FALSE,,FALSE
20021372,CA,California,"13114 Addison St, Sherman Oaks, CA 91423",13114 Addison St,Sherman Oaks,91423,2795000,"$2,795,000 ",4,5,2900,34.160885,-118.41877,House for sale,SINGLE_FAMILY,8,,https://www.zillow.com/homedetails/13114-Addison-St-Sherman-Oaks-CA-91423/20021372_zpid/,TRUE,2026-02-08T12:00:00,FALSE
20009320,CA,California,"6032 Goodland Ave, North Hollywood, CA 91606",6032 Goodland Ave,North Hollywood,91606,1718000,"$1,718,000 ",4,3,3025,34.18045,-118.41128,House for sale,SINGLE_FAMILY,8,1695500,https://www.zillow.com/homedetails/6032-Goodland-Ave-North-Hollywood-CA-91606/20009320_zpid/,FALSE,,FALSE
460204882,CA,California,"3325 Tonopah St, Oceanside, CA 92054",3325 Tonopah St,Oceanside,92054,899999,"$899,999 ",3,3,1682,33.21426,-117.3415,Coming soon,SINGLE_FAMILY,4,,https://www.zillow.com/homedetails/3325-Tonopah-St-Oceanside-CA-92054/460204882_zpid/,FALSE,,FALSE
20769150,CA,California,"963 Pine Grove Ave, Los Angeles, CA 90042",963 Pine Grove Ave,Los Angeles,90042,995000,"$995,000 ",2,2,1271,34.13289,-118.18622,House for sale,SINGLE_FAMILY,5,999900,https://www.zillow.com/homedetails/963-Pine-Grove-Ave-Los-Angeles-CA-90042/20769150_zpid/,FALSE,,FALSE
18728475,CA,California,"3672 W Garland Ave, Fresno, CA 93722",3672 W Garland Ave,Fresno,93722,349900,"$349,900 ",3,2,1340,36.785095,-119.859505,House for sale,SINGLE_FAMILY,5,355100,https://www.zillow.com/homedetails/3672-W-Garland-Ave-Fresno-CA-93722/18728475_zpid/,FALSE,,FALSE
17514860,CA,California,"1931 Eloise Way, Upland, CA 91784",1931 Eloise Way,Upland,91784,989999,"$989,999 ",4,2,2219,34.133514,-117.666435,House for sale,SINGLE_FAMILY,4,986300,https://www.zillow.com/homedetails/1931-Eloise-Way-Upland-CA-91784/17514860_zpid/,FALSE,,FALSE
17862478,CA,California,"16066 Rancho Verde Cir, Riverside, CA 92506",16066 Rancho Verde Cir,Riverside,92506,1070000,"$1,070,000 ",4,3,3840,33.89344,-117.382324,House for sale,SINGLE_FAMILY,391,1084400,https://www.zillow.com/homedetails/16066-Rancho-Verde-Cir-Riverside-CA-92506/17862478_zpid/,FALSE,,FALSE
447319303,CA,California,"2330 Maximilian Dr, Campbell, CA 95008",2330 Maximilian Dr,Campbell,95008,1899000,"$1,899,000 ",3,2,1540,37.278885,-121.966995,House for sale,SINGLE_FAMILY,4,1928700,https://www.zillow.com/homedetails/2330-Maximilian-Dr-Campbell-CA-95008/447319303_zpid/,TRUE,2026-02-08T11:30:00,FALSE
19052066,CA,California,"7125 Yuma Way, Bakersfield, CA 93308",7125 Yuma Way,Bakersfield,93308,459000,"$459,000 ",4,3,2045,35.40357,-119.080414,House for sale,SINGLE_FAMILY,9,458600,https://www.zillow.com/homedetails/7125-Yuma-Way-Bakersfield-CA-93308/19052066_zpid/,FALSE,,FALSE
25063400,CA,California,"7761 Ironwood Dr, Dublin, CA 94568",7761 Ironwood Dr,Dublin,94568,1095000,"$1,095,000 ",3,2,1566,37.71317,-121.932625,House for sale,SINGLE_FAMILY,3,1143600,https://www.zillow.com/homedetails/7761-Ironwood-Dr-Dublin-CA-94568/25063400_zpid/,TRUE,2026-02-08T12:00:00,FALSE
17123321,CA,California,"342 Billow Dr, San Diego, CA 92114",342 Billow Dr,San Diego,92114,699000,"$699,000 ",4,2,1487,32.70806,-117.022575,House for sale,SINGLE_FAMILY,29,706600,https://www.zillow.com/homedetails/342-Billow-Dr-San-Diego-CA-92114/17123321_zpid/,TRUE,2026-02-08T12:00:00,FALSE
20729290,CA,California,"8805 Arcadia Ave, San Gabriel, CA 91775",8805 Arcadia Ave,San Gabriel,91775,899000,"$899,000 ",3,2,1526,34.12554,-118.07739,House for sale,SINGLE_FAMILY,5,941700,https://www.zillow.com/homedetails/8805-Arcadia-Ave-San-Gabriel-CA-91775/20729290_zpid/,FALSE,,FALSE
17872422,CA,California,"23618 Narcissus Cir, Moreno Valley, CA 92557",23618 Narcissus Cir,Moreno Valley,92557,899900,"$899,900 ",4,4,3270,33.972664,-117.251686,House for sale,SINGLE_FAMILY,5,894000,https://www.zillow.com/homedetails/23618-Narcissus-Cir-Moreno-Valley-CA-92557/17872422_zpid/,FALSE,,FALSE
19007604,CA,California,"11201 Moorgate St, Bakersfield, CA 93311",11201 Moorgate St,Bakersfield,93311,759900,"$759,900 ",4,4,3415,35.336815,-119.12674,House for sale,SINGLE_FAMILY,8,740900,https://www.zillow.com/homedetails/11201-Moorgate-St-Bakersfield-CA-93311/19007604_zpid/,FALSE,,FALSE
79791503,CA,California,"3073 Orbetello Way, El Dorado Hills, CA 95762",3073 Orbetello Way,El Dorado Hills,95762,1650000,"$1,650,000 ",5,4,4852,38.69728,-121.09026,House for sale,SINGLE_FAMILY,3,1595300,https://www.zillow.com/homedetails/3073-Orbetello-Way-El-Dorado-Hills-CA-95762/79791503_zpid/,TRUE,2026-02-08T12:00:00,FALSE
20955215,CA,California,"8912 S Fir Ave, Los Angeles, CA 90002",8912 S Fir Ave,Los Angeles,90002,599000,"$599,000 ",3,2,1334,33.95548,-118.23691,House for sale,SINGLE_FAMILY,92,605700,https://www.zillow.com/homedetails/8912-S-Fir-Ave-Los-Angeles-CA-90002/20955215_zpid/,TRUE,2026-02-08T11:00:00,FALSE
21549028,CA,California,"523 N Larkin Dr, Covina, CA 91722",523 N Larkin Dr,Covina,91722,785000,"$785,000 ",3,2,1282,34.090176,-117.900314,House for sale,SINGLE_FAMILY,5,790600,https://www.zillow.com/homedetails/523-N-Larkin-Dr-Covina-CA-91722/21549028_zpid/,FALSE,,FALSE
17315012,CA,California,"7243 Kitty Hawk St, Fontana, CA 92336",7243 Kitty Hawk St,Fontana,92336,800000,"$800,000 ",4,3,2070,34.12201,-117.50311,House for sale,SINGLE_FAMILY,6,798600,https://www.zillow.com/homedetails/7243-Kitty-Hawk-St-Fontana-CA-92336/17315012_zpid/,TRUE,2026-02-08T11:00:00,FALSE
19882620,CA,California,"5546 Jed Smith Rd, Hidden Hills, CA 91302",5546 Jed Smith Rd,Hidden Hills,91302,22995000,"$22,995,000 ",7,11,13895,34.163822,-118.66853,New construction,SINGLE_FAMILY,24,21429700,https://www.zillow.com/homedetails/5546-Jed-Smith-Rd-Hidden-Hills-CA-91302/19882620_zpid/,FALSE,,FALSE
20647440,CA,California,"1253 N Ditman Ave, Los Angeles, CA 90063",1253 N Ditman Ave,Los Angeles,90063,575000,"$575,000 ",2,1,572,34.053246,-118.18972,House for sale,SINGLE_FAMILY,8,579800,https://www.zillow.com/homedetails/1253-N-Ditman-Ave-Los-Angeles-CA-90063/20647440_zpid/,FALSE,,FALSE
25895733,CA,California,"3376 Hartselle Way, Sacramento, CA 95827",3376 Hartselle Way,Sacramento,95827,450000,"$450,000 ",4,2,1587,38.570843,-121.31029,House for sale,SINGLE_FAMILY,2,445900,https://www.zillow.com/homedetails/3376-Hartselle-Way-Sacramento-CA-95827/25895733_zpid/,TRUE,2026-02-08T11:00:00,FALSE
17976370,CA,California,"1598 Amberwood Dr, Hemet, CA 92543",1598 Amberwood Dr,Hemet,92543,299999,"$299,999 ",2,2,1427,33.74113,-116.988304,House for sale,SINGLE_FAMILY,9,303500,https://www.zillow.com/homedetails/1598-Amberwood-Dr-Hemet-CA-92543/17976370_zpid/,FALSE,,FALSE
16594614,CA,California,"4743 Maclura St, Oceanside, CA 92057",4743 Maclura St,Oceanside,92057,689000,"$689,000 ",3,2,1154,33.24029,-117.297905,House for sale,SINGLE_FAMILY,3,690900,https://www.zillow.com/homedetails/4743-Maclura-St-Oceanside-CA-92057/16594614_zpid/,TRUE,2026-02-08T12:00:00,FALSE
63163644,CA,California,"32727 Salvia Cir, Winchester, CA 92596",32727 Salvia Cir,Winchester,92596,998000,"$998,000 ",7,6,3887,33.617455,-117.08862,House for sale,SINGLE_FAMILY,3,986500,https://www.zillow.com/homedetails/32727-Salvia-Cir-Winchester-CA-92596/63163644_zpid/,TRUE,2026-02-08T11:00:00,FALSE
